year,week,week_type,team1_name,team1_score,team2_name,team2_score,winner,scraped_at
2021,15,regular,The Brotherhood,117.4,Scrubs,85.94,The Brotherhood,2025-12-13T17:02:57.826389
2021,15,regular,DirtyBirds,101.34,Rats,146.04,Rats,2025-12-13T17:02:57.826923
2021,15,regular,Mebs Militia,74.32,The Generous,94.76,The Generous,2025-12-13T17:02:57.827394
2021,16,playoff,Maggi's Mighty Ducks,136.52,Rats,148.26,Rats,2025-12-13T17:02:58.264479
2021,16,playoff,The Brotherhood,163.56,Neutered Wolfpack,175.08,Neutered Wolfpack,2025-12-13T17:02:58.265355
2021,16,playoff,Woody,159.5,The Generous,106.28,Woody,2025-12-13T17:02:58.265780
2021,16,playoff,Palm Beach Pelicans,142.58,Mebs Militia,134.52,Palm Beach Pelicans,2025-12-13T17:02:58.266198
2021,17,playoff,Rats,113.56,Neutered Wolfpack,115.02,Neutered Wolfpack,2025-12-13T17:02:58.745704
2021,17,playoff,Maggi's Mighty Ducks,145.76,The Brotherhood,105.0,Maggi's Mighty Ducks,2025-12-13T17:02:58.746611
2021,17,playoff,Woody,135.74,Palm Beach Pelicans,158.86,Palm Beach Pelicans,2025-12-13T17:02:58.747031
2021,17,playoff,The Generous,126.6,Mebs Militia,135.48,Mebs Militia,2025-12-13T17:02:58.747448
2022,1,regular,The Generous,124.7,The Brotherhood,138.8,The Brotherhood,2025-12-13T17:02:59.164172
2022,1,regular,Maggi's Mighty Ducks,143.62,Mebs Militia,89.36,Maggi's Mighty Ducks,2025-12-13T17:02:59.165263
2022,1,regular,Woody,75.92,Wolfpack,114.38,Wolfpack,2025-12-13T17:02:59.165785
2022,1,regular,Killer Cam,86.06,Rats,158.6,Rats,2025-12-13T17:02:59.166265
2022,1,regular,cheeseheads,141.52,Scrubs,53.16,cheeseheads,2025-12-13T17:02:59.166688
2022,1,regular,Palm Beach Pelicans,99.62,DirtyBirds,124.5,DirtyBirds,2025-12-13T17:02:59.167109
2022,2,regular,Maggi's Mighty Ducks,195.26,The Generous,80.18,Maggi's Mighty Ducks,2025-12-13T17:02:59.661094
2022,2,regular,The Brotherhood,117.56,Woody,132.22,Woody,2025-12-13T17:02:59.662008
2022,2,regular,Mebs Militia,99.7,Killer Cam,149.86,Killer Cam,2025-12-13T17:02:59.662440
2022,2,regular,Wolfpack,99.48,cheeseheads,163.18,cheeseheads,2025-12-13T17:02:59.662864
2022,2,regular,Rats,85.0,Palm Beach Pelicans,116.72,Palm Beach Pelicans,2025-12-13T17:02:59.663309
2022,2,regular,Scrubs,106.74,DirtyBirds,119.2,DirtyBirds,2025-12-13T17:02:59.663736
2022,3,regular,The Generous,103.26,Woody,148.12,Woody,2025-12-13T17:03:00.081873
2022,3,regular,Killer Cam,144.28,Maggi's Mighty Ducks,113.9,Killer Cam,2025-12-13T17:03:00.082770
2022,3,regular,cheeseheads,82.26,The Brotherhood,111.68,The Brotherhood,2025-12-13T17:03:00.083196
2022,3,regular,Palm Beach Pelicans,108.9,Mebs Militia,73.84,Palm Beach Pelicans,2025-12-13T17:03:00.083624
2022,3,regular,DirtyBirds,115.2,Wolfpack,110.3,DirtyBirds,2025-12-13T17:03:00.084049
2022,3,regular,Scrubs,98.1,Rats,94.98,Scrubs,2025-12-13T17:03:00.084483
2022,4,regular,Killer Cam,108.5,The Generous,146.24,The Generous,2025-12-13T17:03:00.536228
2022,4,regular,Woody,155.66,cheeseheads,94.38,Woody,2025-12-13T17:03:00.537324
2022,4,regular,Maggi's Mighty Ducks,97.78,Palm Beach Pelicans,108.86,Palm Beach Pelicans,2025-12-13T17:03:00.537847
2022,4,regular,The Brotherhood,108.68,DirtyBirds,115.84,DirtyBirds,2025-12-13T17:03:00.538364
2022,4,regular,Mebs Militia,85.4,Scrubs,53.56,Mebs Militia,2025-12-13T17:03:00.538792
2022,4,regular,Wolfpack,151.02,Rats,160.66,Rats,2025-12-13T17:03:00.539219
2022,5,regular,The Generous,162.56,cheeseheads,132.2,The Generous,2025-12-13T17:03:01.117577
2022,5,regular,Palm Beach Pelicans,78.26,Killer Cam,146.22,Killer Cam,2025-12-13T17:03:01.118682
2022,5,regular,DirtyBirds,125.44,Woody,110.56,DirtyBirds,2025-12-13T17:03:01.119202
